,base_market,quote_market,hedge_ratio,half_life
0,XTZ-USD,ETC-USD,0.049321845786126625,8.0
1,XTZ-USD,ZEC-USD,0.02717666500478931,6.0
2,XTZ-USD,MKR-USD,0.001412616061356684,6.0
3,XTZ-USD,BCH-USD,0.00780361273969739,9.0
4,XTZ-USD,ENJ-USD,2.6369542500511804,4.0
5,XTZ-USD,RUNE-USD,0.7671975376605937,10.0
6,XTZ-USD,FIL-USD,0.1987505304060042,11.0
7,XTZ-USD,ZRX-USD,4.013146571025192,8.0
8,XTZ-USD,YFI-USD,0.00013124168479404817,7.0
9,XTZ-USD,COMP-USD,0.025230453893329743,8.0
10,XTZ-USD,EOS-USD,1.012933808033595,9.0
11,XTZ-USD,NEAR-USD,0.5439462639273394,7.0
12,XTZ-USD,SUSHI-USD,1.0011436907244895,7.0
13,XTZ-USD,MATIC-USD,1.0345917052137628,5.0
14,ICP-USD,CELO-USD,9.780815537080858,8.0
15,ETC-USD,ZEC-USD,0.5508249273664425,21.0
16,ETC-USD,CELO-USD,34.40732421894077,20.0
17,ETC-USD,RUNE-USD,15.551155643089004,17.0
18,ETC-USD,ZRX-USD,81.34249449883998,18.0
19,ETC-USD,YFI-USD,0.0026593166003647086,14.0
20,ETC-USD,XLM-USD,206.3921072364478,5.0
21,ETC-USD,NEAR-USD,11.025662627644579,16.0
22,ETC-USD,ALGO-USD,110.59436741048987,6.0
23,ETC-USD,XMR-USD,0.12015286567823075,6.0
24,ETC-USD,SUSHI-USD,20.291517403742617,14.0
25,ZEC-USD,EOS-USD,37.265467374864365,8.0
26,ZEC-USD,NEAR-USD,20.013644134471562,5.0
27,LINK-USD,BCH-USD,0.05666424298159555,6.0
28,LINK-USD,CELO-USD,12.3251067741709,9.0
29,LINK-USD,NEAR-USD,3.9493028494308255,8.0
30,LINK-USD,ALGO-USD,39.61484433103088,4.0
31,MKR-USD,FIL-USD,140.7038819981478,11.0
32,MKR-USD,COMP-USD,17.859821432268355,9.0
33,BCH-USD,CELO-USD,217.46209411994909,14.0
34,BCH-USD,ENJ-USD,337.789254424555,8.0
35,BCH-USD,RUNE-USD,98.26667136112675,18.0
36,BCH-USD,ZRX-USD,514.081194037073,15.0
37,BCH-USD,YFI-USD,0.016803519024899606,14.0
38,BCH-USD,COMP-USD,3.231311358395145,24.0
39,BCH-USD,XLM-USD,1304.2512107346083,10.0
40,BCH-USD,NEAR-USD,69.6836188858851,13.0
41,BCH-USD,ALGO-USD,698.9105679693,7.0
42,BCH-USD,BTC-USD,0.004271147013614086,3.0
43,BCH-USD,DOT-USD,21.54521672638136,4.0
44,BCH-USD,CRV-USD,138.71045393735233,6.0
45,BCH-USD,SOL-USD,5.618219326704908,8.0
46,BCH-USD,1INCH-USD,281.8403903207744,12.0
47,BCH-USD,AVAX-USD,7.7045392391161,17.0
48,CELO-USD,ALGO-USD,3.2133662655253157,4.0
49,ENJ-USD,ZRX-USD,1.5215325848224674,5.0
50,ENJ-USD,NEAR-USD,0.20621729315221748,7.0
51,ENJ-USD,DOGE-USD,4.687089415746523,2.0
52,RUNE-USD,XLM-USD,13.25920850084923,15.0
53,RUNE-USD,EOS-USD,1.319490360961112,11.0
54,RUNE-USD,XMR-USD,0.007719184509227798,15.0
55,RUNE-USD,UMA-USD,0.5166094219003421,17.0
56,RUNE-USD,AVAX-USD,0.07838175549218354,4.0
57,ZRX-USD,DOGE-USD,3.07976780182544,6.0
58,YFI-USD,XMR-USD,45.11217044010661,13.0
59,XLM-USD,NEAR-USD,0.05341500175768045,17.0
60,XLM-USD,SUSHI-USD,0.09830737427316372,13.0
61,NEAR-USD,ALGO-USD,10.02820007199521,6.0
62,XMR-USD,1INCH-USD,371.1964792159091,9.0
63,XMR-USD,AVAX-USD,10.148065581650853,8.0
64,SUSHI-USD,DOT-USD,0.16792172182029702,7.0
65,SUSHI-USD,DOGE-USD,12.344239736372135,5.0
66,SUSHI-USD,MATIC-USD,1.0333176503262367,3.0
67,SUSHI-USD,ETH-USD,0.0004948381420200626,4.0
68,ADA-USD,DOGE-USD,5.0315736218427585,4.0
69,ADA-USD,LTC-USD,0.00424307003179995,16.0
70,ADA-USD,UNI-USD,0.07144454268955251,9.0
71,ADA-USD,MATIC-USD,0.42103818235848867,7.0
72,ADA-USD,AVAX-USD,0.024480639960433356,17.0
73,ADA-USD,ETH-USD,0.00020172807591420887,2.0
74,BTC-USD,DOT-USD,5043.398893341757,2.0
75,BTC-USD,CRV-USD,32470.609675172127,4.0
76,BTC-USD,SOL-USD,1315.1204725485359,4.0
77,BTC-USD,DOGE-USD,370697.3906951668,3.0
78,BTC-USD,LTC-USD,312.47574708940977,14.0
79,BTC-USD,AAVE-USD,421.96383978607906,4.0
80,BTC-USD,UNI-USD,5262.857756710497,7.0
81,BTC-USD,MATIC-USD,31020.613388431622,6.0
82,BTC-USD,1INCH-USD,65977.60615793284,5.0
83,BTC-USD,AVAX-USD,1803.7630310217342,6.0
84,BTC-USD,ETH-USD,14.86278244924123,2.0
85,CRV-USD,ETH-USD,0.0004574302103090825,2.0
86,DOGE-USD,AAVE-USD,0.001138200995547453,3.0
87,MATIC-USD,ETH-USD,0.00047880522656470147,4.0
